F/S/C,A-L,mm/dd/yyyy,mm/dd/yyyy,mm/dd/yyyy,Initials,"Dry masses (g), to 0.1",,,,,,
C,I,10/25/2019,1/31/2023,2/26/2023,AES,3.7,2.5,8.5,7.9,0.6,0.2,
C,J,10/25/2019,1/31/2023,2/26/2023,AES,3.4,3.8,6.9,0.5,2.4,0.2,
C,K,10/25/2019,1/31/2023,2/26/2023,AES,4.4,4.0,3.2,5.6,0.9,0.1,
C,L,10/25/2019,1/31/2023,2/26/2023,AES,8.9,5.2,5.9,10.3,5.7,0.1,
S,A,10/25/2019,2/2/2023,2/26/2023,AES,0.4,1.4,11.6,2.4,0.8,0.1,
S,B,10/25/2019,2/2/2023,2/26/2023,AES,1.9,2.5,7.4,3.1,0.4,0.3,
S,C,10/25/2019,2/2/2023,2/26/2023,AES,0.7,1.6,10.3,3.6,0.6,0.2,
S,D,10/25/2019,2/2/2023,2/26/2023,AES,0.4,1.5,9.9,5.4,0.3,0.3,
S,E,10/25/2019,2/2/2023,2/26/2023,AES,0.5,3.4,10.7,2.6,0.1,0.3,
S,F,10/25/2019,2/2/2023,2/26/2023,AES,0.5,1.9,12.5,3.5,0.2,0.5,
S,G,10/25/2019,2/2/2023,2/26/2023,AES,0.0,4.3,13.7,3.0,1.7,0.3,
S,H,10/25/2019,2/2/2023,2/26/2023,AES,1.4,3.9,11.9,4.9,3.2,0.3,
S,I,10/25/2019,2/2/2023,2/26/2023,AES,0.7,2.8,7.9,4.3,0.4,2.0,
S,J,10/25/2019,2/2/2023,2/26/2023,AES,1.5,3.9,9.8,2.3,0.5,0.6,
S,K,10/25/2019,2/2/2023,2/26/2023,AES,1.3,3.0,10.8,3.7,3.1,0.3,
S,L,10/25/2019,2/2/2023,2/26/2023,AES,2.8,2.1,8.7,4.4,1.2,0.3,
F,A,10/25/2019,2/2/2023,2/26/2023,AES,0.5,1.5,12.7,1.6,0.0,0.6,
F,B,10/25/2019,2/2/2023,2/26/2023,AES,0.7,4.1,9.6,3.0,2.0,0.6,
F,C,10/25/2019,2/2/2023,2/26/2023,AES,0.1,1.9,12.3,1.5,0.3,1.2,
F,D,10/25/2019,2/2/2023,2/26/2023,AES,0.1,1.4,7.6,3.1,0.3,0.3,
F,E,10/25/2019,2/2/2023,2/26/2023,AES,0.3,2.3,7.8,3.2,1.1,0.4,
F,F,10/25/2019,2/2/2023,2/26/2023,AES,0.1,1.8,8.9,2.3,0.1,0.6,
F,G,10/25/2019,2/2/2023,2/26/2023,AES,0.9,3.0,6.9,8.1,2.2,8.1,
F,H,10/25/2019,2/2/2023,2/26/2023,AES,1.1,2.5,7.7,6.4,4.1,1.0,
F,I,10/25/2019,2/2/2023,2/26/2023,AES,0.7,2.4,12.6,5.8,0.2,2.6,
F,J,10/25/2019,2/2/2023,2/26/2023,AES,1.5,1.8,13.4,2.3,1.4,3.1,
F,K,10/25/2019,2/2/2023,2/26/2023,AES,0.2,2.1,9.6,2.3,0.1,1.3,
F,L,10/25/2019,2/2/2023,2/26/2023,AES,0.3,2.9,9.2,3.1,0.8,0.3,
S,A,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.4,0.0,0.9,0.8,4.2,
S,B,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.3,0.1,0.4,2.3,5.5,
S,C,4/16/2019,2/7/2023,2/26/2023,AES,0.0,3.1,0.1,3.7,15.1,5.6,
S,D,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.5,0.7,1.3,0.4,5.5,
S,E,4/16/2019,2/7/2023,2/26/2023,AES,0.0,1.4,0.5,3.9,18.3,5.8,
S,F,4/16/2019,2/7/2023,2/26/2023,AES,0.1,0.1,0.4,1.8,26.5,5.6,
S,G,4/16/2019,2/7/2023,2/26/2023,AES,0.3,0.2,0.0,1.3,2.3,4.3,
S,H,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.0,0.1,6.9,4.3,
S,I,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.2,0.4,0.1,4.1,
S,J,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.3,0.0,0.7,3.0,4.7,
S,K,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.5,0.0,3.2,2.6,5.7,
S,L,4/16/2019,2/7/2023,2/26/2023,AES,0.1,0.6,0.0,3.8,3.8,6.5,
F,A,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.0,0.4,2.0,5.9,
F,B,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.7,0.2,0.0,4.6,6.0,
F,C,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.4,0.0,0.3,0.0,6.9,
F,D,4/16/2019,2/7/2023,2/26/2023,AES,0.2,0.5,0.2,0.5,7.3,6.3,
F,E,4/16/2019,2/7/2023,2/26/2023,AES,0.1,1.1,0.1,0.1,25.6,8.2,
F,F,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.2,0.0,0.0,0.5,7.5,
F,G,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.4,0.1,0.2,1.8,8.4,
F,H,4/16/2019,2/7/2023,2/26/2023,AES,0.3,0.7,0.0,0.7,2.3,7.4,
F,I,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.1,0.0,0.3,0.1,5.6,
F,J,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.9,0.0,0.0,2.3,6.9,
F,K,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.5,0.1,0.1,1.6,7.0,
F,L,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.3,0.0,0.3,7.2,6.4,
C,A,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.3,0.0,0.2,0.9,4.8,
C,B,4/16/2019,2/7/2023,2/26/2023,AES,0.0,1.0,0.1,0.4,4.0,4.9,
C,C,4/16/2019,2/7/2023,2/26/2023,AES,0.0,1.2,0.0,0.8,5.2,3.8,
C,D,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.3,0.0,0.7,0.5,4.4,
C,E,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.0,0.0,1.0,3.8,
C,F,4/16/2019,2/7/2023,2/26/2023,AES,0.1,1.0,0.0,1.0,14.9,4.5,
C,G,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.6,0.0,0.6,15.3,6.7,
C,H,4/16/2019,2/7/2023,2/26/2023,AES,0.1,0.7,0.0,0.1,11.8,5.4,
C,I,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.4,0.2,0.6,2.1,7.2,
C,J,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.4,0.0,0.9,5.8,4.5,
C,K,4/16/2019,2/7/2023,2/26/2023,AES,0.4,1.0,0.4,0.6,81.9,5.3,
C,L,4/16/2019,2/7/2023,2/26/2023,AES,0.2,1.2,0.5,0.1,10.5,7.0,
S,A,12/19/2018,1/5/2023,2/26/2023,AES,0.0,4.9,0.0,9.1,1.2,2.8,
S,B,12/19/2018,1/5/2023,2/26/2023,AES,0.1,11.1,0.0,10.0,0.2,3.4,
S,C,12/19/2018,1/5/2023,2/26/2023,AES,0.0,8.5,0.7,10.8,0.7,2.9,
S,D,12/19/2018,1/5/2023,2/26/2023,AES,0.0,5.1,0.2,11.2,0.0,2.8,
S,E,12/19/2018,1/5/2023,2/26/2023,AES,0.0,3.5,0.0,9.4,0.1,3.1,
S,F,12/19/2018,1/5/2023,2/26/2023,AES,0.0,3.1,0.5,8.6,1.2,3.5,
S,G,12/19/2018,1/5/2023,2/26/2023,AES,0.1,1.5,0.0,7.8,5.7,2.4,
S,H,12/19/2018,1/5/2023,2/26/2023,AES,0.0,2.0,0.0,5.7,3.8,2.4,
S,I,12/19/2018,1/5/2023,2/26/2023,AES,0.1,2.0,0.0,12.3,0.0,3.1,
S,J,12/19/2018,1/5/2023,2/26/2023,AES,0.0,1.3,0.0,7.8,0.3,3.7,
S,K,12/19/2018,1/5/2023,2/26/2023,AES,0.1,6.0,0.0,9.5,0.0,3.0,
S,L,12/19/2018,1/5/2023,2/26/2023,AES,0.1,5.3,0.2,4.3,0.1,3.1,
C,A,12/19/2018,12/13/2022,2/26/2023,AES,0.0,7.3,0.0,1.6,0.0,6.4,
C,B,12/19/2018,12/13/2022,2/26/2023,AES,0.5,8.2,0.6,3.1,0.7,6.9,
C,C,12/19/2018,12/13/2022,2/26/2023,AES,0.4,8.9,0.0,1.2,0.0,6.6,
C,D,12/19/2018,12/13/2022,2/26/2023,AES,0.0,12.6,0.4,6.9,0.0,6.0,
C,E,12/19/2018,12/13/2022,2/26/2023,AES,0.2,13.5,0.1,3.9,0.1,5.2,
C,F,12/19/2018,12/13/2022,2/26/2023,AES,0.3,11.2,0.8,2.2,5.0,8.1,
C,G,12/19/2018,1/5/2023,2/26/2023,AES,0.5,9.5,0.6,3.7,0.0,6.5,
C,H,12/19/2018,1/5/2023,2/26/2023,AES,1.6,7.5,0.1,0.5,1.0,4.8,
C,I,12/19/2018,1/5/2023,2/26/2023,AES,0.3,10.3,0.0,3.0,0.2,3.8,
C,J,12/19/2018,1/5/2023,2/26/2023,AES,0.4,8.7,0.1,2.2,0.0,4.5,
C,K,12/19/2018,1/5/2023,2/26/2023,AES,0.3,12.1,0.4,2.0,2.4,4.7,
C,L,12/19/2018,1/5/2023,2/26/2023,AES,0.3,11.0,0.0,1.8,0.5,7.5,
F,A,12/19/2018,1/17/2023,2/26/2023,AES,1.3,5.3,0.2,3.1,0.0,8.4,
F,B,12/19/2018,1/17/2023,2/26/2023,AES,1.2,4.7,0.0,1.4,0.1,7.6,
F,C,12/19/2018,1/17/2023,2/26/2023,AES,1.4,5.2,0.0,1.7,0.0,8.6,
F,D,12/19/2018,1/17/2023,2/26/2023,AES,1.7,7.8,0.3,2.0,0.8,8.5,
F,E,12/19/2018,1/17/2023,2/26/2023,AES,1.6,8.1,0.0,1.3,0.4,6.7,
F,F,12/19/2018,1/17/2023,2/26/2023,AES,0.9,7.6,0.0,2.7,0.0,9.5,
F,G,12/19/2018,1/17/2023,2/26/2023,AES,0.3,9.8,0.1,2.1,2.0,9.0,
F,H,12/19/2018,1/17/2023,2/26/2023,AES,0.3,9.9,0.0,0.4,1.0,9.7,
F,I,12/19/2018,1/17/2023,2/26/2023,AES,0.2,9.7,0.0,2.2,2.1,9.6,
F,J,12/19/2018,1/17/2023,2/26/2023,AES,1.4,10.3,0.4,2.6,0.2,11.1,
F,K,12/19/2018,1/17/2023,2/26/2023,AES,1.8,8.9,0.1,0.7,1.0,9.7,
F,L,12/19/2018,1/17/2023,2/26/2023,AES,1.4,10.1,0.0,0.9,0.1,9.5,
C,A,11/20/2018,10/25/2022,2/26/2023,AES,4.5,11.4,2.0,3.4,1.1,2.1,
C,B,11/20/2018,10/25/2022,2/26/2023,AES,7.6,10.9,0.3,4.1,0.0,1.9,
C,C,11/20/2018,10/25/2022,2/26/2023,AES,4.7,8.8,1.3,3.4,4.1,2.1,
C,D,11/20/2018,10/25/2022,2/26/2023,AES,4.0,14.4,3.8,6.1,0.1,2.0,
C,E,11/20/2018,10/25/2022,2/26/2023,AES,1.3,15.8,0.7,7.0,0.5,1.6,
C,F,11/20/2018,10/25/2022,2/26/2023,AES,3.3,17.5,0.9,4.3,0.2,1.3,
C,G,11/20/2018,10/25/2022,2/26/2023,AES,1.1,17.2,1.6,5.1,0.9,1.8,
C,H,11/20/2018,10/25/2022,2/26/2023,AES,1.4,16.3,0.1,7.6,0.1,1.0,
C,I,11/20/2018,10/25/2022,2/26/2023,AES,9.9,18.1,1.7,8.1,0.4,1.2,
C,J,11/20/2018,10/25/2022,2/26/2023,AES,3.7,23.0,0.4,6.0,0.2,1.7,
C,K,11/20/2018,10/25/2022,2/26/2023,AES,4.4,14.9,0.5,3.7,43.5,1.7,
C,L,11/20/2018,10/25/2022,2/26/2023,AES,10.4,13.3,0.6,4.2,0.6,2.0,
F,A,11/20/2018,11/15/2022,2/26/2023,AES,2.0,4.8,2.1,10.4,0.2,2.1,
F,B,11/20/2018,11/15/2022,2/26/2023,AES,0.1,8.2,3.8,11.0,0.2,1.3,
F,C,11/20/2018,11/15/2022,2/26/2023,AES,6.4,9.8,1.6,6.4,0.0,1.8,
F,D,11/20/2018,11/15/2022,2/26/2023,AES,5.5,8.5,4.5,6.1,0.0,2.1,
F,E,11/20/2018,11/15/2022,2/26/2023,AES,6.1,10.0,2.6,5.2,1.6,1.8,
F,F,11/20/2018,11/15/2022,2/26/2023,AES,1.8,5.7,1.8,5.0,0.1,2.4,
F,G,11/20/2018,11/15/2022,2/26/2023,AES,1.7,13.2,2.2,9.0,0.0,2.7,
F,H,11/20/2018,11/15/2022,2/26/2023,AES,2.1,13.3,0.7,5.3,3.6,2.7,
F,I,11/20/2018,11/15/2022,2/26/2023,AES,1.5,7.5,1.6,3.8,0.0,2.8,
F,J,11/20/2018,11/15/2022,2/26/2023,AES,3.9,10.5,1.6,5.2,0.3,2.6,
F,K,11/20/2018,11/15/2022,2/26/2023,AES,2.0,8.0,1.8,5.6,0.3,2.3,
F,L,11/20/2018,11/15/2022,2/26/2023,AES,1.9,7.3,3.2,3.9,0.0,2.9,
S,A,11/20/2018,11/15/2022,2/26/2023,AES,1.1,11.5,1.5,23.2,2.5,1.5,
S,B,11/20/2018,11/15/2022,2/26/2023,AES,0.6,10.2,1.2,25.9,1.7,0.4,
S,C,11/20/2018,11/15/2022,2/26/2023,AES,0.9,11.1,0.6,21.1,0.0,1.8,
S,D,11/20/2018,11/15/2022,2/26/2023,AES,1.0,16.7,0.7,26.7,3.3,0.6,
S,E,11/20/2018,11/15/2022,2/26/2023,AES,1.3,11.9,0.0,24.1,0.1,2.5,
S,F,11/20/2018,11/15/2022,2/26/2023,AES,0.4,9.9,0.4,19.9,0.6,1.1,
S,G,11/20/2018,11/15/2022,2/26/2023,AES,0.5,12.1,2.2,27.8,1.1,0.3,
S,H,11/20/2018,11/15/2022,2/26/2023,AES,2.9,7.2,2.7,30.8,2.0,2.3,
S,I,11/20/2018,11/15/2022,2/26/2023,AES,1.3,10.4,0.0,3.8,21.1,1.3,
S,J,11/20/2018,11/15/2022,2/26/2023,AES,0.2,9.5,0.4,30.6,2.8,0.7,
S,K,11/20/2018,11/15/2022,2/26/2023,AES,3.6,12.0,1.2,33.0,0.8,0.1,
S,L,11/20/2018,11/15/2022,2/26/2023,AES,0.4,7.5,0.4,17.5,2.9,0.7,
S,A,11/8/2018,1/31/2023,2/26/2023,AES,18.0,19.5,30.5,44.1,0.0,0.9,
S,B,11/8/2018,1/31/2023,2/26/2023,AES,20.9,28.9,22.3,41.4,2.8,1.0,
S,C,11/8/2018,1/31/2023,2/26/2023,AES,9.3,18.1,25.7,53.0,2.5,0.5,
S,D,11/8/2018,1/31/2023,2/26/2023,AES,13.1,18.9,24.0,46.5,1.7,0.2,
S,E,11/8/2018,1/31/2023,2/26/2023,AES,4.6,14.2,17.3,60.5,0.2,1.9,
S,F,11/8/2018,1/31/2023,2/26/2023,AES,2.1,10.3,16.2,55.9,21.4,3.4,
S,G,11/8/2018,1/31/2023,2/26/2023,AES,5.1,8.8,31.3,55.1,195.2,5.9,
S,H,11/8/2018,1/31/2023,2/26/2023,AES,7.7,10.2,25.9,60.7,1.3,0.5,
S,I,11/8/2018,1/31/2023,2/26/2023,AES,16.1,16.6,21.3,39.6,2.0,1.8,
S,J,11/8/2018,1/31/2023,2/26/2023,AES,18.9,10.1,19.1,51.6,2.9,0.3,
S,K,11/8/2018,1/31/2023,2/26/2023,AES,18.9,20.4,15.8,36.0,1.5,0.2,
S,L,11/8/2018,1/31/2023,2/26/2023,AES,59.3,24.8,1.7,25.2,21.2,0.2,
F,A,11/8/2018,11/22/2022,2/26/2023,AES,9.0,6.3,45.0,14.2,0.0,1.1,
F,B,11/8/2018,11/22/2022,2/26/2023,AES,3.8,8.3,46.0,27.7,3.1,0.4,
F,C,11/8/2018,11/22/2022,2/26/2023,AES,1.7,4.5,46.4,26.2,0.6,0.3,
F,D,11/8/2018,11/22/2022,2/26/2023,AES,9.5,7.2,66.1,11.5,0.0,1.2,
F,E,11/8/2018,11/22/2022,2/26/2023,AES,3.8,6.4,49.4,18.5,0.0,2.3,
F,F,11/8/2018,11/22/2022,2/26/2023,AES,4.9,4.9,51.3,15.2,0.0,1.2,
F,G,11/8/2018,11/22/2022,2/26/2023,AES,6.3,9.4,29.5,30.7,0.8,1.3,
F,H,11/8/2018,11/22/2022,2/26/2023,AES,3.3,12.5,27.2,32.9,15.3,1.2,
F,I,11/8/2018,12/13/2022,2/26/2023,AES,4.0,12.6,46.9,24.0,0.6,1.6,
F,J,11/8/2018,12/13/2022,2/26/2023,AES,7.6,9.4,54.7,17.7,4.7,1.2,
F,K,11/8/2018,12/13/2022,2/26/2023,AES,2.7,13.1,30.9,21.3,72.4,0.9,
F,L,11/8/2018,12/13/2022,2/26/2023,AES,1.7,8.8,27.9,13.7,0.8,0.8,
C,A,11/8/2018,1/20/2023,2/26/2023,AES,23.5,6.6,41.9,10.2,27.9,0.2,
C,B,11/8/2018,1/20/2023,2/26/2023,AES,22.3,2.9,51.2,9.0,4.5,0.8,
C,C,11/8/2018,1/20/2023,2/26/2023,AES,12.0,2.7,49.0,11.0,0.2,0.3,
C,D,11/8/2018,1/20/2023,2/26/2023,AES,6.6,6.9,41.9,13.6,0.3,0.8,
C,E,11/8/2018,1/20/2023,2/26/2023,AES,8.3,9.4,40.4,11.3,0.3,1.0,
C,F,11/8/2018,1/20/2023,2/26/2023,AES,8.5,6.9,44.6,14.4,2.2,1.1,
C,G,11/8/2018,1/20/2023,2/26/2023,AES,3.1,12.7,49.2,10.7,1.8,0.8,
C,H,11/8/2018,1/20/2023,2/26/2023,AES,3.1,11.5,38.0,15.1,4.8,0.7,
C,I,11/8/2018,1/20/2023,2/26/2023,AES,7.8,8.1,39.1,15.5,0.1,0.9,
C,J,11/8/2018,1/20/2023,2/26/2023,AES,5.9,6.8,38.3,13.5,1.9,0.9,
C,K,11/8/2018,1/20/2023,2/26/2023,AES,14.9,9.2,50.1,8.7,1.0,0.7,
C,L,11/8/2018,1/20/2023,2/26/2023,AES,20.6,7.4,24.5,34.8,0.3,0.1,